# total_chars=19650
# unique_chars=63
# total_bigrams=19649
# unique_bigrams=699
# format: item<TAB>count<TAB>probability

=== CHARS ===
\s	3074	0.1564376590
e	1976	0.1005597964
t	1556	0.0791857506
a	1472	0.0749109415
o	1236	0.0629007634
i	1179	0.0600000000
s	1110	0.0564885496
n	1064	0.0541475827
r	983	0.0500254453
l	695	0.0353689567
h	641	0.0326208651
c	564	0.0287022901
d	549	0.0279389313
u	436	0.0221882952
m	393	0.0200000000
p	330	0.0167938931
g	322	0.0163867684
f	318	0.0161832061
b	294	0.0149618321
y	269	0.0136895674
w	239	0.0121628499
v	179	0.0091094148
k	86	0.0043765903
T	60	0.0030534351
B	60	0.0030534351
0	56	0.0028498728
D	49	0.0024936387
I	37	0.0018829517
A	37	0.0018829517
z	28	0.0014249364
x	27	0.0013740458
q	26	0.0013231552
1	25	0.0012722646
S	24	0.0012213740
M	21	0.0010687023
2	20	0.0010178117
W	15	0.0007633588
C	13	0.0006615776
H	13	0.0006615776
U	13	0.0006615776
E	13	0.0006615776
F	11	0.0005597964
P	11	0.0005597964
N	10	0.0005089059
G	10	0.0005089059
9	10	0.0005089059
j	9	0.0004580153
K	9	0.0004580153
5	8	0.0004071247
R	8	0.0004071247
4	7	0.0003562341
L	7	0.0003562341
3	6	0.0003053435
Q	6	0.0003053435
6	5	0.0002544529
Z	5	0.0002544529
V	5	0.0002544529
O	5	0.0002544529
8	4	0.0002035623
7	4	0.0002035623
J	4	0.0002035623
Y	3	0.0001526718
с	1	0.0000508906

=== BIGRAMS ===
e\s	584	0.0297216143
s\s	507	0.0258028398
\st	431	0.0219349585
\sa	374	0.0190340475
th	349	0.0177617182
at	318	0.0161840297
t\s	305	0.0155224184
er	284	0.0144536618
in	271	0.0137920505
he	267	0.0135884778
re	255	0.0129777597
on	233	0.0118581098
\si	231	0.0117563235
n\s	228	0.0116036440
an	227	0.0115527508
es	224	0.0114000713
d\s	217	0.0110438190
or	197	0.0100259555
te	194	0.0098732760
\so	192	0.0097714896
al	187	0.0095170238
ti	180	0.0091607715
en	171	0.0087027330
r\s	170	0.0086518398
\ss	167	0.0084991603
a\s	164	0.0083464807
to	164	0.0083464807
is	160	0.0081429080
\sc	159	0.0080920149
nt	158	0.0080411217
\sb	154	0.0078375490
y\s	153	0.0077866558
\sw	148	0.0075321899
ta	147	0.0074812968
ha	144	0.0073286172
ed	137	0.0069723650
nd	134	0.0068196855
ar	133	0.0067687923
o\s	132	0.0067178991
\sd	131	0.0066670060
g\s	128	0.0065143264
co	123	0.0062598606
st	121	0.0061580742
of	121	0.0061580742
se	119	0.0060562879
le	117	0.0059545015
\sp	111	0.0056491424
it	110	0.0055982493
f\s	109	0.0055473561
io	108	0.0054964629
l\s	108	0.0054964629
ng	106	0.0053946766
ne	105	0.0053437834
ve	105	0.0053437834
ll	103	0.0052419970
ro	99	0.0050384243
ea	98	0.0049875312
\sf	96	0.0048857448
\sm	96	0.0048857448
ic	94	0.0047839585
be	93	0.0047330653
ou	91	0.0046312789
om	90	0.0045803858
me	88	0.0044785994
ma	87	0.0044277062
ce	86	0.0043768131
as	86	0.0043768131
si	84	0.0042750267
de	80	0.0040714540
ut	78	0.0039696677
ca	78	0.0039696677
ra	78	0.0039696677
ec	76	0.0038678813
us	75	0.0038169881
h\s	74	0.0037660950
ig	73	0.0037152018
da	69	0.0035116291
et	69	0.0035116291
ch	68	0.0034607359
pe	67	0.0034098427
di	67	0.0034098427
hi	66	0.0033589496
fo	65	0.0033080564
\sr	65	0.0033080564
rs	65	0.0033080564
ab	65	0.0033080564
li	64	0.0032571632
so	64	0.0032571632
ns	63	0.0032062700
ri	63	0.0032062700
\se	63	0.0032062700
pr	62	0.0031553769
ct	61	0.0031044837
ts	61	0.0031044837
wi	60	0.0030535905
ge	59	0.0030026973
\sh	58	0.0029518042
il	57	0.0029009110
na	55	0.0027991246
ac	55	0.0027991246
\sT	54	0.0027482315
ly	54	0.0027482315
by	52	0.0026464451
lo	52	0.0026464451
po	51	0.0025955519
la	50	0.0025446588
mp	50	0.0025446588
wh	50	0.0025446588
\sl	49	0.0024937656
el	49	0.0024937656
mo	49	0.0024937656
tr	48	0.0024428724
\sB	47	0.0023919792
\sD	47	0.0023919792
ol	47	0.0023919792
Bi	46	0.0023410861
Th	45	0.0022901929
nc	45	0.0022901929
op	45	0.0022901929
iv	44	0.0022392997
ie	44	0.0022392997
\sn	43	0.0021884065
ho	43	0.0021884065
Da	43	0.0021884065
ev	43	0.0021884065
ur	42	0.0021375134
vi	41	0.0020866202
ss	41	0.0020866202
im	40	0.0020357270
ul	39	0.0019848338
pl	39	0.0019848338
\su	39	0.0019848338
m\s	39	0.0019848338
ow	39	0.0019848338
un	38	0.0019339407
ni	38	0.0019339407
ad	37	0.0018830475
ot	37	0.0018830475
bl	37	0.0018830475
em	37	0.0018830475
ee	37	0.0018830475
su	36	0.0018321543
ke	36	0.0018321543
oo	36	0.0018321543
yt	36	0.0018321543
rm	35	0.0017812611
bu	35	0.0017812611
ay	34	0.0017303680
lu	34	0.0017303680
ci	34	0.0017303680
ia	33	0.0016794748
ir	33	0.0016794748
no	33	0.0016794748
rt	32	0.0016285816
we	32	0.0016285816
ls	32	0.0016285816
wa	31	0.0015776884
ys	30	0.0015267953
os	30	0.0015267953
uc	29	0.0014759021
\sg	29	0.0014759021
oc	29	0.0014759021
\sA	29	0.0014759021
rc	28	0.0014250089
ry	28	0.0014250089
id	28	0.0014250089
bo	28	0.0014250089
ag	27	0.0013741157
av	27	0.0013741157
ue	27	0.0013741157
00	27	0.0013741157
pa	27	0.0013741157
ap	27	0.0013741157
du	26	0.0013232226
lt	26	0.0013232226
qu	26	0.0013232226
tt	26	0.0013232226
\sI	25	0.0012723294
fi	25	0.0012723294
nf	25	0.0012723294
if	25	0.0012723294
am	25	0.0012723294
wo	25	0.0012723294
ei	25	0.0012723294
va	24	0.0012214362
pu	24	0.0012214362
ua	24	0.0012214362
mi	24	0.0012214362
gh	23	0.0011705430
ld	23	0.0011705430
cu	23	0.0011705430
ob	23	0.0011705430
k\s	23	0.0011705430
ex	21	0.0010687567
gi	21	0.0010687567
fr	21	0.0010687567
w\s	21	0.0010687567
sh	21	0.0010687567
In	20	0.0010178635
\sv	20	0.0010178635
eg	20	0.0010178635
c\s	20	0.0010178635
sp	20	0.0010178635
ga	19	0.0009669703
sa	19	0.0009669703
ze	19	0.0009669703
ug	19	0.0009669703
ty	19	0.0009669703
mu	19	0.0009669703
cr	19	0.0009669703
tu	19	0.0009669703
\s1	19	0.0009669703
ds	18	0.0009160772
um	18	0.0009160772
tw	18	0.0009160772
do	18	0.0009160772
od	17	0.0008651840
rd	17	0.0008651840
rr	17	0.0008651840
ba	17	0.0008651840
fa	17	0.0008651840
rg	17	0.0008651840
ai	17	0.0008651840
dr	17	0.0008651840
pi	17	0.0008651840
cl	16	0.0008142908
bi	16	0.0008142908
fe	16	0.0008142908
og	16	0.0008142908
0\s	16	0.0008142908
sc	16	0.0008142908
ft	16	0.0008142908
ew	15	0.0007633976
cc	15	0.0007633976
iz	15	0.0007633976
ik	15	0.0007633976
\sW	14	0.0007125045
ov	14	0.0007125045
ey	14	0.0007125045
mm	14	0.0007125045
fl	14	0.0007125045
rk	14	0.0007125045
rn	13	0.0006616113
\sM	13	0.0006616113
ef	13	0.0006616113
eq	13	0.0006616113
ui	13	0.0006616113
ib	13	0.0006616113
ak	13	0.0006616113
ep	13	0.0006616113
pp	13	0.0006616113
ny	13	0.0006616113
go	12	0.0006107181
\s2	12	0.0006107181
gr	12	0.0006107181
ht	12	0.0006107181
\sU	12	0.0006107181
oe	11	0.0005598249
\sS	11	0.0005598249
ff	11	0.0005598249
ru	11	0.0005598249
ud	11	0.0005598249
ki	11	0.0005598249
gl	11	0.0005598249
ph	11	0.0005598249
p\s	11	0.0005598249
\sE	11	0.0005598249
eo	11	0.0005598249
au	10	0.0005089318
ms	10	0.0005089318
\sC	10	0.0005089318
nu	10	0.0005089318
ck	10	0.0005089318
ok	10	0.0005089318
fu	10	0.0005089318
yo	10	0.0005089318
hn	10	0.0005089318
sm	10	0.0005089318
10	10	0.0005089318
mb	10	0.0005089318
xp	10	0.0005089318
rl	9	0.0004580386
20	9	0.0004580386
\sP	9	0.0004580386
\sH	9	0.0004580386
rp	9	0.0004580386
nv	9	0.0004580386
\sG	9	0.0004580386
\sk	9	0.0004580386
\sF	8	0.0004071454
gy	8	0.0004071454
cs	8	0.0004071454
sk	8	0.0004071454
rv	8	0.0004071454
dl	7	0.0003562522
xt	7	0.0003562522
yi	7	0.0003562522
nl	7	0.0003562522
nn	7	0.0003562522
Co	7	0.0003562522
hu	7	0.0003562522
sl	7	0.0003562522
A\s	7	0.0003562522
dy	7	0.0003562522
vo	7	0.0003562522
\sj	7	0.0003562522
ip	7	0.0003562522
eh	7	0.0003562522
kn	7	0.0003562522
sy	7	0.0003562522
Fo	6	0.0003053591
gg	6	0.0003053591
\sN	6	0.0003053591
Ma	6	0.0003053591
lm	6	0.0003053591
uy	6	0.0003053591
oi	6	0.0003053591
He	6	0.0003053591
